Date,Bank,Rating,1_Star,2_Star,3_Star,4_Star,5_Star
2026-07-27,Paritetbank (iParitet),4.8,50,20,40,150,4800
2026-07-27,Belarusbank (M-Belarusbank),3.5,11000,1800,2100,2800,22000
2026-07-27,Priorbank (Prior Online),4.7,3900,700,1200,4200,78000
2026-07-27,MTBank (Moby),3.9,3700,500,600,900,11000
2026-07-27,BNB-Bank (Iskra),3.2,150,50,40,40,350
2026-07-27,Alfa-Bank (INSNC),3.7,610,70,130,70,1450
2026-08-03,Paritetbank (iParitet),4.82,50,20,40,150,5040
2026-08-03,Belarusbank (M-Belarusbank),3.52,11000,1800,2100,2800,23100
2026-08-03,Priorbank (Prior Online),4.72,3900,700,1200,4200,81900
2026-08-03,MTBank (Moby),3.92,3700,500,600,900,11550
2026-08-03,BNB-Bank (Iskra),3.22,150,50,40,40,367
2026-08-03,Alfa-Bank (INSNC),3.72,610,70,130,70,1522
2026-08-10,Paritetbank (iParitet),4.84,50,20,40,150,5280
2026-08-10,Belarusbank (M-Belarusbank),3.54,11000,1800,2100,2800,24200
2026-08-10,Priorbank (Prior Online),4.74,3900,700,1200,4200,85800
2026-08-10,MTBank (Moby),3.94,3700,500,600,900,12100
2026-08-10,BNB-Bank (Iskra),2.9,900,50,40,40,385
2026-08-10,Alfa-Bank (INSNC),3.74,610,70,130,70,1595
2026-08-17,Paritetbank (iParitet),4.86,50,20,40,150,5520
2026-08-17,Belarusbank (M-Belarusbank),3.56,11000,1800,2100,2800,25299
2026-08-17,Priorbank (Prior Online),4.76,3900,700,1200,4200,89700
2026-08-17,MTBank (Moby),3.96,3700,500,600,900,12649
2026-08-17,BNB-Bank (Iskra),2.75,1350,50,40,40,402
2026-08-17,Alfa-Bank (INSNC),3.76,610,70,130,70,1667
2026-08-24,Paritetbank (iParitet),4.88,50,20,40,150,5760
2026-08-24,Belarusbank (M-Belarusbank),3.58,11000,1800,2100,2800,26400
2026-08-24,Priorbank (Prior Online),4.78,3900,700,1200,4200,93600
2026-08-24,MTBank (Moby),3.98,3700,500,600,900,13200
2026-08-24,BNB-Bank (Iskra),2.6,1800,50,40,40,420
2026-08-24,Alfa-Bank (INSNC),3.78,610,70,130,70,1740
2026-08-29,Paritetbank (iParitet),4.84,143,43,167,412,7755
2026-08-29,Belarusbank (M-Belarusbank),3.11,12372,1990,2294,3012,23244
2026-08-29,Priorbank (Prior Online),4.77,4997,1266,3358,8579,124292
2026-08-29,MTBank (Moby),4.0,4259,721,1014,1495,13153
2026-08-29,BNB-Bank (Iskra),2.83,564,135,82,74,383
2026-08-29,Alfa-Bank (INSNC),3.71,619,69,129,69,1449
2026-08-30,Paritetbank (iParitet),4.84,144,44,168,413,7772
2026-08-30,Belarusbank (M-Belarusbank),3.11,12358,2022,2313,3001,23229
2026-08-30,Priorbank (Prior Online),4.77,4981,1268,3351,8597,124358
2026-08-30,MTBank (Moby),3.99,4297,714,1017,1500,13120
2026-08-30,BNB-Bank (Iskra),2.8,588,139,66,66,384
2026-08-30,Alfa-Bank (INSNC),3.75,592,70,122,91,1462
2026-08-31,Paritetbank (iParitet),4.84,143,43,167,412,7779
2026-08-31,Belarusbank (M-Belarusbank),3.12,12342,2022,2312,3000,23243
2026-08-31,Priorbank (Prior Online),4.77,4979,1279,3351,8585,124437
2026-08-31,MTBank (Moby),3.99,4295,713,1016,1499,13126
2026-08-31,BNB-Bank (Iskra),2.82,568,149,67,85,379
2026-08-31,Alfa-Bank (INSNC),3.78,578,70,120,91,1491
